"id","name","description"
"incoterm_02011000","02011000","Trupovi ili polovice od životinja vrste goveda, svježi ili rashlađeni"
"incoterm_02012020","02012020","""Kompenzirane"" četvrtine mesa od životinja vrste goveda, s kostima, svježe ili rashlađene"
"incoterm_02012030","02012030","Neraskomadane ili raskomadane prednje četvrtine mesa od životinja vrste goveda, s kostima, svježe ili rashlađene"
"incoterm_02012050","02012050","Neraskomadane ili raskomadane stražnje četvrtine mesa od životinja vrste goveda, s kostima, svježe ili rashlađene"
"incoterm_02012090","02012090","Svježi ili rashlađeni komadi mesa od životinja vrste goveda, s kostima (osim trupova i polovica, ""kompenziranih četvrtina"", prednjih i stražnjih četvrtina)"
"incoterm_02013000","02013000","Svježe ili rashlađeno meso od životinja vrste goveda, bez kostiju"
"incoterm_02021000","02021000","Smrznuti goveđi trupovi i polovice"
"incoterm_02022010","02022010","Smrznute ""kompenzirane"" goveđe četvrtine, s kostima"
"incoterm_02022030","02022030","Smrznute neraskomadane ili raskomadane prednje četvrtine mesa od životinja vrste goveda, s kostima"
"incoterm_02022050","02022050","Smrznute neraskomadane ili raskomadane stražnje četvrtine mesa od životinja vrste goveda, s kostima"
"incoterm_02022090","02022090","Smrznuti komadi mesa od životinja vrste goveda, s kostima (osim trupova i polovica, ""kompenziranih četvrtina"", prednjih i stražnjih četvrtina)"
"incoterm_02023010","02023010","Smrznute goveđe prednje četvrtine, bez kostiju, cijele ili raskomadane u najviše pet komada, svaka u jednom bloku; “kompenzirane četvrtine"" u dva bloka, od kojih jedan sadrži prednju četvrtinu, cijelu ili raskomadanu u najviše pet komada, a drugi dio stražnju četvrtinu osim filea u jednom komadu"
"incoterm_02023050","02023050","Smrznuti ""crop"", vrat s potplećkom (""chuck and blade"") i prsa s donjim dijelom plećke mesa od životinja vrste goveda, bez kostiju"
"incoterm_02023090","02023090","Smrznuto meso od životinja vrste goveda, bez kostiju (osim prednje četvrtine, cijele ili raskomadane u najviše pet komada, svaka u jednom bloku, “kompenzirane četvrtine"" u dva bloka, od kojih jedan sadrži prednju četvrtinu, cijelu ili raskomadanu u najviše pet komada, a drugi dio, stražnja četvrtina, osim filea u jednom komadu, ""cropa"", vrata s potplećkom (""chuck and blade"") i prsa s donjim dijelom plećke)"
"incoterm_02031110","02031110","Svježi ili rashlađeni trupovi i polovice domaćih svinja"
